"type","sqft","sqm","price","payment_method","governorate","city","area","down_payment","bedroomscc","bathroomscc","posted_date","month","day"
"Chalet","1109","103",16053000,"Cash","North Coast","Qesm Ad Dabaah","Hacienda Waters",1605000,"2","2","2025-08-19","8","19"
"Apartment","1884","175",6500000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-27","8","27"
"Apartment","1615","150",9710000,"Installments","Cairo","New Capital City","New Capital Compounds",2913000,"2","2","2025-08-31","8","31"
"Apartment","3229","300",41000000,"Cash","Cairo","Zamalek","Bahaa Eldeen Krakoush St.","","2","2","2025-08-31","8","31"
"iVilla","2637","245",10000000,"Cash","Cairo","New Cairo City","","","4","4","2025-08-20","8","20"
"Apartment","2390","222",9195000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","3","3","2025-08-20","8","20"
"Villa","3843","357",13000000,"Cash","Suez","Al Ain Al Sokhna","Mountain view","","7","7","2025-06-13","6","13"
"Apartment","1249","116",7700000,"Cash","Cairo","New Cairo City","","","2","2","2025-08-31","8","31"
"Apartment","1841","171",7699000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-31","8","31"
"Chalet","958","89",7500000,"Cash","North Coast","Ras Al Hekma","Azha North","","1","1","2025-09-02","9","2"
"Penthouse","1722","160",8700000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-31","8","31"
"Duplex","2960","275",7000000,"Cash","Giza","6 October City","Cairo Alexandria Desert Road","","3","3","","",""
"Apartment","1830","170",12300000,"Cash","Giza","6 October City","South Dahshur Link","","3","3","2025-07-29","7","29"
"Chalet","1249","116",17700000,"Cash","North Coast","Ras Al Hekma","June",4000000,"2.0","2.0","2025-09-01","9","1"
"Apartment","1238","115","","","North Coast","Sidi Abdel Rahman","Zoya","","2","2","2025-08-25","8","25"
"Apartment","2368","220",1000000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","3","3","2025-08-31","8","31"
"Apartment","1615","150",13800000,"Installments","Cairo","New Cairo City","",5,"3","3","2025-09-01","9","1"
"Chalet","1507","140",5300000,"Cash","North Coast","Markaz Al Hamam","Nice","","2","2","2025-08-26","8","26"
